"","replicate","gate","media","estradiol","group_name","postselection","preselection"
"1","exp1","GFP","SC+5FOA","0nM","mCherry-vs-GFP",482000,23000
"3","exp1","GFP","SC-ura","0nM","mCherry-vs-GFP",310,23000
"7","exp1","GFP","SC-ura","100nM","mCherry-vs-GFP",1328000,25400
"8","exp1","GFP","SC+5FOA","100nM","mCherry-vs-GFP",744,25400
"18","exp1","mCherry","SC+5FOA","0nM","mCherry-vs-GFP",698000,22400
"19","exp1","mCherry","SC-ura","0nM","mCherry-vs-GFP",1034,22400
"21","exp1","mCherry","SC-ura","100nM","mCherry-vs-GFP",1308000,24200
"22","exp1","mCherry","SC+5FOA","100nM","mCherry-vs-GFP",580,24200
"33","exp1","GFP","SC-ura","0nM","vs-ura3",488,29000
"34","exp1","GFP","SC+5FOA","0nM","vs-ura3",908000,29000
"38","exp1","GFP","SC+5FOA","100nM","vs-ura3",1324000,32400
"40","exp1","GFP","SC-ura","100nM","vs-ura3",864,32400
"50","exp1","mCherry","SC+5FOA","0nM","vs-ura3",410000,24800
"52","exp1","mCherry","SC-ura","0nM","vs-ura3",163,24800
"54","exp1","mCherry","SC+5FOA","100nM","vs-ura3",522,25800
"56","exp1","mCherry","SC-ura","100nM","vs-ura3",2340000,25800
"65","exp1","GFP","SC-ura","0nM","vs-URA3",2060000,28400
"68","exp1","GFP","SC+5FOA","0nM","vs-URA3",784,28400
"69","exp1","GFP","SC-ura","100nM","vs-URA3",1004000,33600
"72","exp1","GFP","SC+5FOA","100nM","vs-URA3",592,33600
"82","exp1","mCherry","SC-ura","0nM","vs-URA3",1094,26400
"84","exp1","mCherry","SC+5FOA","0nM","vs-URA3",1232000,26400
"85","exp1","mCherry","SC-ura","100nM","vs-URA3",868000,30800
"86","exp1","mCherry","SC+5FOA","100nM","vs-URA3",394,30800
"103","exp2","GFP","SC+5FOA","0nM","mCherry-vs-GFP",951000,21000
"104","exp2","GFP","SC+5FOA","0nM","vs-URA3",701,14000
"105","exp2","GFP","SC+5FOA","0nM","vs-ura3",1760000,18600
"106","exp2","GFP","SC+5FOA","100nM","mCherry-vs-GFP",812,20700
"107","exp2","GFP","SC+5FOA","100nM","vs-URA3",536,15300
"108","exp2","GFP","SC+5FOA","100nM","vs-ura3",2280000,17200
"109","exp2","GFP","SC-ura","0nM","mCherry-vs-GFP",444,23600
"110","exp2","GFP","SC-ura","0nM","vs-URA3",2670000,16700
"111","exp2","GFP","SC-ura","0nM","vs-ura3",645,17700
"112","exp2","GFP","SC-ura","100nM","mCherry-vs-GFP",1530000,20200
"113","exp2","GFP","SC-ura","100nM","vs-URA3",1220000,14500
"114","exp2","GFP","SC-ura","100nM","vs-ura3",329,18400
"355","exp2","mCherry","SC+5FOA","0nM","mCherry-vs-GFP",819000,22700
"356","exp2","mCherry","SC+5FOA","0nM","vs-URA3",1490000,21700
"357","exp2","mCherry","SC+5FOA","0nM","vs-ura3",418000,20400
"358","exp2","mCherry","SC+5FOA","100nM","mCherry-vs-GFP",750,21700
"359","exp2","mCherry","SC+5FOA","100nM","vs-URA3",783,21800
"360","exp2","mCherry","SC+5FOA","100nM","vs-ura3",1830,21000
"361","exp2","mCherry","SC-ura","0nM","mCherry-vs-GFP",529,22500
"362","exp2","mCherry","SC-ura","0nM","vs-URA3",431,24400
"363","exp2","mCherry","SC-ura","0nM","vs-ura3",1010,24500
"364","exp2","mCherry","SC-ura","100nM","mCherry-vs-GFP",1320000,22600
"365","exp2","mCherry","SC-ura","100nM","vs-URA3",1560000,20800
"366","exp2","mCherry","SC-ura","100nM","vs-ura3",3030000,22400
"391","exp3","GFP","SC+5FOA","0nM","mCherry-vs-GFP",659000,11100
"392","exp3","GFP","SC+5FOA","0nM","vs-URA3",247,13300
"393","exp3","GFP","SC+5FOA","0nM","vs-ura3",2840000,13600
"394","exp3","GFP","SC+5FOA","100nM","mCherry-vs-GFP",69.7,13100
"395","exp3","GFP","SC+5FOA","100nM","vs-URA3",189,15600
"396","exp3","GFP","SC+5FOA","100nM","vs-ura3",2380000,14800
"397","exp3","GFP","SC-ura","0nM","mCherry-vs-GFP",124,11300
"398","exp3","GFP","SC-ura","0nM","vs-URA3",4060000,13600
"399","exp3","GFP","SC-ura","0nM","vs-ura3",125,14100
"400","exp3","GFP","SC-ura","100nM","mCherry-vs-GFP",1360000,11400
"401","exp3","GFP","SC-ura","100nM","vs-URA3",2360000,14600
"402","exp3","GFP","SC-ura","100nM","vs-ura3",329,14700
"427","exp3","mCherry","SC+5FOA","0nM","mCherry-vs-GFP",860000,13900
"428","exp3","mCherry","SC+5FOA","0nM","vs-URA3",1560000,17700
"429","exp3","mCherry","SC+5FOA","0nM","vs-ura3",521000,14300
"430","exp3","mCherry","SC+5FOA","100nM","mCherry-vs-GFP",232,18200
"431","exp3","mCherry","SC+5FOA","100nM","vs-URA3",441,18900
"432","exp3","mCherry","SC+5FOA","100nM","vs-ura3",764,16000
"433","exp3","mCherry","SC-ura","0nM","mCherry-vs-GFP",173,15200
"434","exp3","mCherry","SC-ura","0nM","vs-URA3",1170,17500
"435","exp3","mCherry","SC-ura","0nM","vs-ura3",166,14900
"436","exp3","mCherry","SC-ura","100nM","mCherry-vs-GFP",1570000,15800
"437","exp3","mCherry","SC-ura","100nM","vs-URA3",1920000,18700
"438","exp3","mCherry","SC-ura","100nM","vs-ura3",2960000,16300
