"","row","col","strain","ura3","estradiol","X5FOA","value"
"1","A",1,"PMY1639","URA3","- estradiol",1,0.04
"2","A",10,"PMY1639","URA3","+ estradiol",0.296296296,0.241
"3","A",11,"PMY1639","URA3","+ estradiol",0.197530864,0.91
"4","A",12,"PMY1639","URA3","+ estradiol",0.131687243,1.188
"5","A",2,"PMY1639","URA3","- estradiol",0.666666667,0.049
"6","A",3,"PMY1639","URA3","- estradiol",0.444444444,0.064
"7","A",4,"PMY1639","URA3","- estradiol",0.296296296,0.202
"8","A",5,"PMY1639","URA3","- estradiol",0.197530864,0.778
"9","A",6,"PMY1639","URA3","- estradiol",0.131687243,1.2
"10","A",7,"PMY1639","URA3","+ estradiol",1,0.051
"11","A",8,"PMY1639","URA3","+ estradiol",0.666666667,0.067
"12","A",9,"PMY1639","URA3","+ estradiol",0.444444444,0.069
"13","B",1,"CMY19","ura3","- estradiol",1,1.14
"14","B",10,"CMY19","ura3","+ estradiol",0.296296296,1.226
"15","B",11,"CMY19","ura3","+ estradiol",0.197530864,1.227
"16","B",12,"CMY19","ura3","+ estradiol",0.131687243,1.225
"17","B",2,"CMY19","ura3","- estradiol",0.666666667,1.195
"18","B",3,"CMY19","ura3","- estradiol",0.444444444,1.229
"19","B",4,"CMY19","ura3","- estradiol",0.296296296,1.249
"20","B",5,"CMY19","ura3","- estradiol",0.197530864,1.246
"21","B",6,"CMY19","ura3","- estradiol",0.131687243,1.251
"22","B",7,"CMY19","ura3","+ estradiol",1,1.143
"23","B",8,"CMY19","ura3","+ estradiol",0.666666667,1.194
"24","B",9,"CMY19","ura3","+ estradiol",0.444444444,1.223
"25","C",1,"CMY47","Z4EVpr:URA3","- estradiol",1,0.034
"26","C",10,"CMY47","Z4EVpr:URA3","+ estradiol",0.296296296,0.253
"27","C",11,"CMY47","Z4EVpr:URA3","+ estradiol",0.197530864,0.931
"28","C",12,"CMY47","Z4EVpr:URA3","+ estradiol",0.131687243,1.185
"29","C",2,"CMY47","Z4EVpr:URA3","- estradiol",0.666666667,0.06
"30","C",3,"CMY47","Z4EVpr:URA3","- estradiol",0.444444444,0.366
"31","C",4,"CMY47","Z4EVpr:URA3","- estradiol",0.296296296,1.092
"32","C",5,"CMY47","Z4EVpr:URA3","- estradiol",0.197530864,1.23
"33","C",6,"CMY47","Z4EVpr:URA3","- estradiol",0.131687243,1.243
"34","C",7,"CMY47","Z4EVpr:URA3","+ estradiol",1,0.048
"35","C",8,"CMY47","Z4EVpr:URA3","+ estradiol",0.666666667,0.05
"36","C",9,"CMY47","Z4EVpr:URA3","+ estradiol",0.444444444,0.067
"37","D",1,"CMY92","Z4EVpr:Ub-R-URA3","- estradiol",1,1.067
"38","D",10,"CMY92","Z4EVpr:Ub-R-URA3","+ estradiol",0.296296296,1.149
"39","D",11,"CMY92","Z4EVpr:Ub-R-URA3","+ estradiol",0.197530864,1.172
"40","D",12,"CMY92","Z4EVpr:Ub-R-URA3","+ estradiol",0.131687243,1.156
"41","D",2,"CMY92","Z4EVpr:Ub-R-URA3","- estradiol",0.666666667,1.138
"42","D",3,"CMY92","Z4EVpr:Ub-R-URA3","- estradiol",0.444444444,1.158
"43","D",4,"CMY92","Z4EVpr:Ub-R-URA3","- estradiol",0.296296296,1.173
"44","D",5,"CMY92","Z4EVpr:Ub-R-URA3","- estradiol",0.197530864,1.169
"45","D",6,"CMY92","Z4EVpr:Ub-R-URA3","- estradiol",0.131687243,1.177
"46","D",7,"CMY92","Z4EVpr:Ub-R-URA3","+ estradiol",1,0.151
"47","D",8,"CMY92","Z4EVpr:Ub-R-URA3","+ estradiol",0.666666667,0.448
"48","D",9,"CMY92","Z4EVpr:Ub-R-URA3","+ estradiol",0.444444444,0.92
"49","E",1,"CMY94","Z4EVpr:Ub-Q-URA3","- estradiol",1,1.133
"50","E",10,"CMY94","Z4EVpr:Ub-Q-URA3","+ estradiol",0.296296296,0.48
"51","E",11,"CMY94","Z4EVpr:Ub-Q-URA3","+ estradiol",0.197530864,1.081
"52","E",12,"CMY94","Z4EVpr:Ub-Q-URA3","+ estradiol",0.131687243,1.188
"53","E",2,"CMY94","Z4EVpr:Ub-Q-URA3","- estradiol",0.666666667,1.198
"54","E",3,"CMY94","Z4EVpr:Ub-Q-URA3","- estradiol",0.444444444,1.228
"55","E",4,"CMY94","Z4EVpr:Ub-Q-URA3","- estradiol",0.296296296,1.251
"56","E",5,"CMY94","Z4EVpr:Ub-Q-URA3","- estradiol",0.197530864,1.256
"57","E",6,"CMY94","Z4EVpr:Ub-Q-URA3","- estradiol",0.131687243,1.262
"58","E",7,"CMY94","Z4EVpr:Ub-Q-URA3","+ estradiol",1,0.05
"59","E",8,"CMY94","Z4EVpr:Ub-Q-URA3","+ estradiol",0.666666667,0.052
"60","E",9,"CMY94","Z4EVpr:Ub-Q-URA3","+ estradiol",0.444444444,0.106
"61","F",1,"CMY97","Z4EVpr:Ub-I-URA3","- estradiol",1,0.878
"62","F",10,"CMY97","Z4EVpr:Ub-I-URA3","+ estradiol",0.296296296,0.298
"63","F",11,"CMY97","Z4EVpr:Ub-I-URA3","+ estradiol",0.197530864,0.97
"64","F",12,"CMY97","Z4EVpr:Ub-I-URA3","+ estradiol",0.131687243,1.186
"65","F",2,"CMY97","Z4EVpr:Ub-I-URA3","- estradiol",0.666666667,1.17
"66","F",3,"CMY97","Z4EVpr:Ub-I-URA3","- estradiol",0.444444444,1.22
"67","F",4,"CMY97","Z4EVpr:Ub-I-URA3","- estradiol",0.296296296,1.243
"68","F",5,"CMY97","Z4EVpr:Ub-I-URA3","- estradiol",0.197530864,1.245
"69","F",6,"CMY97","Z4EVpr:Ub-I-URA3","- estradiol",0.131687243,1.252
"70","F",7,"CMY97","Z4EVpr:Ub-I-URA3","+ estradiol",1,0.047
"71","F",8,"CMY97","Z4EVpr:Ub-I-URA3","+ estradiol",0.666666667,0.05
"72","F",9,"CMY97","Z4EVpr:Ub-I-URA3","+ estradiol",0.444444444,0.081
"73","G",1,"colony3","Z4EVpr:Ub-I-URA3","- estradiol",1,0.819
"74","G",10,"colony3","Z4EVpr:Ub-I-URA3","+ estradiol",0.296296296,0.293
"75","G",11,"colony3","Z4EVpr:Ub-I-URA3","+ estradiol",0.197530864,0.957
"76","G",12,"colony3","Z4EVpr:Ub-I-URA3","+ estradiol",0.131687243,1.187
"77","G",2,"colony3","Z4EVpr:Ub-I-URA3","- estradiol",0.666666667,1.164
"78","G",3,"colony3","Z4EVpr:Ub-I-URA3","- estradiol",0.444444444,1.228
"79","G",4,"colony3","Z4EVpr:Ub-I-URA3","- estradiol",0.296296296,1.244
"80","G",5,"colony3","Z4EVpr:Ub-I-URA3","- estradiol",0.197530864,1.251
"81","G",6,"colony3","Z4EVpr:Ub-I-URA3","- estradiol",0.131687243,1.26
"82","G",7,"colony3","Z4EVpr:Ub-I-URA3","+ estradiol",1,0.049
"83","G",8,"colony3","Z4EVpr:Ub-I-URA3","+ estradiol",0.666666667,0.052
"84","G",9,"colony3","Z4EVpr:Ub-I-URA3","+ estradiol",0.444444444,0.077
"85","H",1,NA,NA,"- estradiol",1,0.031
"86","H",10,NA,NA,"+ estradiol",0.296296296,0.039
"87","H",11,NA,NA,"+ estradiol",0.197530864,0.039
"88","H",12,NA,NA,"+ estradiol",0.131687243,0.04
"89","H",2,NA,NA,"- estradiol",0.666666667,0.038
"90","H",3,NA,NA,"- estradiol",0.444444444,0.037
"91","H",4,NA,NA,"- estradiol",0.296296296,0.038
"92","H",5,NA,NA,"- estradiol",0.197530864,0.039
"93","H",6,NA,NA,"- estradiol",0.131687243,0.04
"94","H",7,NA,NA,"+ estradiol",1,0.038
"95","H",8,NA,NA,"+ estradiol",0.666666667,0.038
"96","H",9,NA,NA,"+ estradiol",0.444444444,0.038
