"","replicate","media2","group_name","s","T","sT"
"2","exp1","SC+5FOA, without estradiol","vs-URA3",7.35978687218591,0.089380068466728,0.657818254536502
"4","exp1","SC+5FOA, without estradiol","vs-ura3",-0.497590221018498,0.103187800600175,-0.0513452405070538
"6","exp1","SC-ura, with estradiol","vs-URA3",-0.0496596719398729,0.0955972771844939,-0.00474732942332706
"8","exp1","SC-ura, with estradiol","vs-ura3",7.90417281982916,0.082325871552439,0.650717916293534
"10","exp2","SC+5FOA, without estradiol","vs-URA3",7.66157258391877,0.0851402240978677,0.652308006736923
"12","exp2","SC+5FOA, without estradiol","vs-ura3",-1.93014826370646,0.0999928197678796,-0.193000967458086
"14","exp2","SC-ura, with estradiol","vs-URA3",-0.0856840539351984,0.0842270179285165,-0.00721691234698793
"16","exp2","SC-ura, with estradiol","vs-ura3",9.12799406751998,0.0785945320793873,0.717410422560156
"18","exp3","SC+5FOA, without estradiol","vs-URA3",8.75076278981165,0.0826070176815952,0.722874416505416
"20","exp3","SC+5FOA, without estradiol","vs-ura3",-2.0154459701515,0.0923271306331266,-0.186080343370187
"22","exp3","SC-ura, with estradiol","vs-URA3",-0.569059921654063,0.0811307654277464,-0.0461682670180475
"24","exp3","SC-ura, with estradiol","vs-ura3",9.10463059185542,0.0760546637638907,0.692449618357997
